job_id,cluster_id,timeslice
0,1,0
0,1,1
0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,1,10
0,1,11
0,1,12
0,1,13
0,1,14
0,1,15
0,1,16
0,1,17
0,1,18
0,1,19
0,1,20
0,1,21
0,1,22
0,1,23
0,1,24
0,1,25
0,1,26
0,1,27
0,1,28
0,1,29
0,1,30
0,1,31
0,1,32
0,1,33
0,1,34
0,1,35
0,1,36
0,1,37
0,1,38
0,1,39
0,1,40
0,1,41
0,1,42
1,0,0
1,0,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
1,0,21
1,0,22
1,0,23
1,0,24
1,0,25
1,0,26
1,0,27
1,0,28
1,0,29
1,0,30
1,0,31
1,0,32
1,0,33
1,0,34
1,0,35
1,0,36
1,0,37
1,0,38
1,0,39
1,0,40
1,0,41
1,0,42
2,0,0
2,0,1
2,0,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
2,0,21
2,0,22
2,0,23
2,0,24
2,0,25
2,0,26
2,0,27
2,0,28
2,0,29
2,0,30
2,0,31
2,0,32
2,0,33
2,0,34
2,0,35
2,0,36
2,0,37
2,0,38
2,0,39
2,0,40
2,0,41
2,0,42
3,0,0
3,0,1
3,0,2
3,0,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
3,0,21
3,0,22
3,0,23
3,0,24
3,0,25
3,0,26
3,0,27
3,0,28
3,0,29
3,0,30
3,0,31
3,0,32
3,0,33
3,0,34
3,0,35
3,0,36
3,0,37
3,0,38
3,0,39
3,0,40
3,0,41
3,0,42
4,1,0
4,1,1
4,1,2
4,1,3
4,1,4
4,1,5
4,1,6
4,1,7
4,1,8
4,1,9
4,1,10
4,1,11
4,1,12
4,1,13
4,1,14
4,1,15
4,1,16
4,1,17
4,1,18
4,1,19
4,1,20
4,1,21
4,1,22
4,1,23
4,1,24
4,1,25
4,1,26
4,1,27
4,1,28
4,1,29
4,1,30
4,1,31
4,1,32
4,1,33
4,1,34
4,1,35
4,1,36
4,1,37
4,1,38
4,1,39
4,1,40
4,1,41
4,1,42
5,1,0
5,1,1
5,1,2
5,1,3
5,1,4
5,1,5
5,1,6
5,1,7
5,1,8
5,1,9
5,1,10
5,1,11
5,1,12
5,1,13
5,1,14
5,1,15
5,1,16
5,1,17
5,1,18
5,1,19
5,1,20
5,1,21
5,1,22
5,1,23
5,1,24
5,1,25
5,1,26
5,1,27
5,1,28
5,1,29
5,1,30
5,1,31
5,1,32
5,1,33
5,1,34
5,1,35
5,1,36
5,1,37
5,1,38
5,1,39
5,1,40
5,1,41
5,1,42
6,1,0
6,1,1
6,1,2
6,1,3
6,1,4
6,1,5
6,1,6
6,1,7
6,1,8
6,1,9
6,1,10
6,1,11
6,1,12
6,1,13
6,1,14
6,1,15
6,1,16
6,1,17
6,1,18
6,1,19
6,1,20
6,1,21
6,1,22
6,1,23
6,1,24
6,1,25
6,1,26
6,1,27
6,1,28
6,1,29
6,1,30
6,1,31
6,1,32
6,1,33
6,1,34
6,1,35
6,1,36
6,1,37
6,1,38
6,1,39
6,1,40
6,1,41
6,1,42
7,1,0
7,1,1
7,1,2
7,1,3
7,1,4
7,1,5
7,1,6
7,1,7
7,1,8
7,1,9
7,1,10
7,1,11
7,1,12
7,1,13
7,1,14
7,1,15
7,1,16
7,1,17
7,1,18
7,1,19
7,1,20
7,1,21
7,1,22
7,1,23
7,1,24
7,1,25
7,1,26
7,1,27
7,1,28
7,1,29
7,1,30
7,1,31
7,1,32
7,1,33
7,1,34
7,1,35
7,1,36
7,1,37
7,1,38
7,1,39
7,1,40
7,1,41
7,1,42
8,1,0
8,1,1
8,1,2
8,1,3
8,1,4
8,1,5
8,1,6
8,1,7
8,1,8
8,1,9
8,1,10
8,1,11
8,1,12
8,1,13
8,1,14
8,1,15
8,1,16
8,1,17
8,1,18
8,1,19
8,1,20
8,1,21
8,1,22
8,1,23
8,1,24
8,1,25
8,1,26
8,1,27
8,1,28
8,1,29
8,1,30
8,1,31
8,1,32
8,1,33
8,1,34
8,1,35
8,1,36
8,1,37
8,1,38
8,1,39
8,1,40
8,1,41
8,1,42
9,1,0
9,1,1
9,1,2
9,1,3
9,1,4
9,1,5
9,1,6
9,1,7
9,1,8
9,1,9
9,1,10
9,1,11
9,1,12
9,1,13
9,1,14
9,1,15
9,1,16
9,1,17
9,1,18
9,1,19
9,1,20
9,1,21
9,1,22
9,1,23
9,1,24
9,1,25
9,1,26
9,1,27
9,1,28
9,1,29
9,1,30
9,1,31
9,1,32
9,1,33
9,1,34
9,1,35
