job_id,cluster_id,timeslice
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
0,0,32
0,0,33
0,0,34
0,0,35
0,0,36
0,0,37
0,0,38
0,0,39
0,0,40
0,0,41
0,0,42
0,0,43
0,0,44
1,0,0
1,0,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
1,0,21
1,0,22
1,0,23
1,0,24
1,0,25
1,0,26
1,0,27
1,0,28
1,0,29
1,0,30
1,0,31
1,0,32
1,0,33
1,0,34
1,0,35
1,0,36
1,0,37
1,0,38
1,0,39
1,0,40
1,0,41
1,0,42
1,0,43
1,0,44
2,0,0
2,0,1
2,0,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
2,0,21
2,0,22
2,0,23
2,0,24
2,0,25
2,0,26
2,0,27
2,0,28
2,0,29
2,0,30
2,0,31
2,0,32
2,0,33
2,0,34
2,0,35
2,0,36
2,0,37
2,0,38
2,0,39
2,0,40
2,0,41
2,0,42
2,0,43
2,0,44
3,0,0
3,0,1
3,0,2
3,0,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
3,0,21
3,0,22
3,0,23
3,0,24
3,0,25
3,0,26
3,0,27
3,0,28
3,0,29
3,0,30
3,0,31
3,0,32
3,0,33
3,0,34
3,0,35
3,0,36
3,0,37
3,0,38
3,0,39
3,0,40
3,0,41
3,0,42
3,0,43
3,0,44
4,0,0
4,0,1
4,0,2
4,0,3
4,0,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
4,0,11
4,0,12
4,0,13
4,0,14
4,0,15
4,0,16
4,0,17
4,0,18
4,0,19
4,0,20
4,0,21
4,0,22
4,0,23
4,0,24
4,0,25
4,0,26
4,0,27
4,0,28
4,0,29
4,0,30
4,0,31
4,0,32
4,0,33
4,0,34
4,0,35
4,0,36
4,0,37
4,0,38
4,0,39
4,0,40
4,0,41
4,0,42
4,0,43
4,0,44
5,1,0
5,1,1
5,1,2
5,1,3
5,1,4
5,1,5
5,1,6
5,1,7
5,1,8
5,1,9
5,1,10
5,1,11
5,1,12
5,1,13
5,1,14
5,1,15
5,1,16
5,1,17
5,1,18
5,1,19
5,1,20
5,1,21
5,1,22
5,1,23
5,1,24
5,1,25
5,1,26
5,1,27
5,1,28
5,1,29
5,1,30
5,1,31
5,1,32
5,1,33
5,1,34
5,1,35
5,1,36
5,1,37
5,1,38
5,1,39
5,1,40
5,1,41
5,1,42
5,1,43
5,1,44
6,1,0
6,1,1
6,1,2
6,1,3
6,1,4
6,1,5
6,1,6
6,1,7
6,1,8
6,1,9
6,1,10
6,1,11
6,1,12
6,1,13
6,1,14
6,1,15
6,1,16
6,1,17
6,1,18
6,1,19
6,1,20
6,1,21
6,1,22
6,1,23
6,1,24
6,1,25
6,1,26
6,1,27
6,1,28
6,1,29
6,1,30
6,1,31
6,1,32
6,1,33
6,1,34
6,1,35
6,1,36
6,1,37
6,1,38
6,1,39
6,1,40
6,1,41
6,1,42
6,1,43
6,1,44
7,1,0
7,1,1
7,1,2
7,1,3
7,1,4
7,1,5
7,1,6
7,1,7
7,1,8
7,1,9
7,1,10
7,1,11
7,1,12
7,1,13
7,1,14
7,1,15
7,1,16
7,1,17
7,1,18
7,1,19
7,1,20
7,1,21
7,1,22
7,1,23
7,1,24
7,1,25
7,1,26
7,1,27
7,1,28
7,1,29
7,1,30
7,1,31
7,1,32
7,1,33
7,1,34
7,1,35
7,1,36
7,1,37
7,1,38
7,1,39
7,1,40
7,1,41
7,1,42
7,1,43
7,1,44
8,1,0
8,1,1
8,1,2
8,1,3
8,1,4
8,1,5
8,1,6
8,1,7
8,1,8
8,1,9
8,1,10
8,1,11
8,1,12
8,1,13
8,1,14
8,1,15
8,1,16
8,1,17
8,1,18
8,1,19
8,1,20
8,1,21
8,1,22
8,1,23
8,1,24
8,1,25
8,1,26
8,1,27
8,1,28
8,1,29
8,1,30
8,1,31
8,1,32
8,1,33
8,1,34
8,1,35
8,1,36
8,1,37
8,1,38
8,1,39
8,1,40
8,1,41
8,1,42
8,1,43
8,1,44
9,1,0
9,1,1
9,1,2
9,1,3
9,1,4
9,1,5
9,1,6
9,1,7
9,1,8
9,1,9
9,1,10
9,1,11
9,1,12
9,1,13
9,1,14
9,1,15
9,1,16
9,1,17
9,1,18
9,1,19
9,1,20
9,1,21
9,1,22
9,1,23
9,1,24
9,1,25
9,1,26
9,1,27
9,1,28
9,1,29
9,1,30
9,1,31
9,1,32
9,1,33
9,1,34
9,1,35
9,1,36
9,1,37
9,1,38
9,1,39
9,1,40
9,1,41
9,1,42
9,1,43
9,1,44
10,2,0
10,2,1
10,2,2
10,2,3
10,2,4
10,2,5
10,2,6
10,2,7
10,2,8
10,2,9
10,2,10
10,2,11
10,2,12
10,2,13
10,2,14
10,2,15
10,2,16
10,2,17
10,2,18
10,2,19
10,2,20
10,2,21
10,2,22
10,2,23
10,2,24
10,2,25
10,2,26
10,2,27
10,2,28
10,2,29
10,2,30
10,2,31
10,2,32
10,2,33
10,2,34
10,2,35
10,2,36
10,2,37
10,2,38
10,2,39
10,2,40
10,2,41
10,2,42
10,2,43
10,2,44
11,2,0
11,2,1
11,2,2
11,2,3
11,2,4
11,2,5
11,2,6
11,2,7
11,2,8
11,2,9
11,2,10
11,2,11
11,2,12
11,2,13
11,2,14
11,2,15
11,2,16
11,2,17
11,2,18
11,2,19
11,2,20
11,2,21
11,2,22
11,2,23
11,2,24
11,2,25
11,2,26
11,2,27
11,2,28
11,2,29
11,2,30
11,2,31
11,2,32
11,2,33
11,2,34
11,2,35
11,2,36
11,2,37
11,2,38
11,2,39
11,2,40
11,2,41
11,2,42
11,2,43
11,2,44
12,0,0
12,0,1
12,0,2
12,0,3
12,0,4
12,0,5
12,0,6
12,0,7
12,0,8
12,0,9
12,0,10
12,0,11
12,0,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
12,0,21
12,0,22
12,0,23
12,0,24
12,0,25
12,0,26
12,0,27
12,0,28
12,0,29
12,0,30
12,0,31
12,0,32
12,0,33
12,0,34
12,0,35
12,0,36
12,0,37
12,0,38
12,0,39
12,0,40
12,0,41
12,0,42
12,0,43
12,0,44
